Category,Name,Price,Source,Purpose
,Engine Mount,$5.49,https://www.apogeerockets.com/Building-Supplies/Body-Tubes/29mm-to-54mm-Tubes/29mm-Engine-Mount-Tube-Set-2-pk,Engine Mount Tube
,Recovery Wadding,$5.99,https://estesrockets.com/products/recovery-wadding?srsltid=AfmBOoq_fUgVRpxw-speCfkQRm_6fdd00M9npsWQOKwA-Y2BSnWIx7zF,Parachute Protection during ejection charge
,Parachute Materials,$17.99,https://estesrockets.com/products/rip-stop-parachute?_pos=1&_sid=acb6b3712&_ss=r&variant=51539308052785,Brings Rocket down safely
,Shock Cord,$15.93,https://locprecision.com/collections/model-rocket-recovery/products/shock-cords?variant=39778657992895,Attaches Stages Together
,Sandpaper,$2.14,https://www.aliexpress.com/item/3256810253074660.html,To Smooth Out Surfaces
,Spray Paint,$0.00,Buying Myself,To Paint Rocket
,PVC 5-Way,$0.00,Buying Myself,For Rocket Launch Stand
,Xacto Knife,$0.99,https://www.aliexpress.us/item/3256809754023143.html?spm=a2g0o.productlist.main.9.57183694tjkf9C&algo_pvid=ebcc5ede-4fd0-4283-be80-4fc51847848e&algo_exp_id=ebcc5ede-4fd0-4283-be80-4fc51847848e-8&pdp_ext_f=%7B%22order%22%3A%221223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.73%210.99%21%21%2139.55%216.82%21%402101d6ff17696452684031829e8673%2112000050636060467%21sea%21US%217130607314%21ABX%211%210%21n_tag%3A-29910%3Bd%3A491563c7%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847450&curPageLogUid=hjQLTAmfcvue&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009940337895%7C_p_origin_prod%3A,Cutting Tool
,M6 Eye Bolts 30mm,$0.99,https://www.aliexpress.us/item/3256803591110349.html?spm=a2g0o.productlist.main.6.791f3cd2x0cIxh&algo_pvid=0726246a-3f83-4798-8d8e-82f313ba36bc&algo_exp_id=0726246a-3f83-4798-8d8e-82f313ba36bc-5&pdp_ext_f=%7B%22order%22%3A%22264%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.96%210.99%21%21%211.96%210.99%21%402101e62517696572140114099e5e11%2112000027131581755%21sea%21US%217130607314%21ABX%211%210%21n_tag%3A-29910%3Bd%3A491563c7%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847418&curPageLogUid=qfiumtPNFlXN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003777425101%7C_p_origin_prod%3A,For attaching Shock cords to main Body
Category,Name,Price,Source,Purpose
Engine Motor,G80T-10,$0.00,Buying Myself,Propulsion for Rocket
,,,,
Total Before Taxes and Shipping,,$209.78,,
,,,,
Below Totals contain Tax and Shipping ,,,,
,,,,
Lilygo Total,$70.00,,,
Aliexpress Total ,$36.44,,,
Amazon Total,$27.35,,,
LOC Total,$63.45,,,
Amazon Total,$34.46,,,
Estes Total,$44.98,,,
Apogee Total,$19.58,,,
Adafruit Total,$16.40,,,
Automation Direct Total,$38.43,,,
,,,,
Grant Total:,$351.09,,,
